lat,lon
50.0502536,-5.6934768
50.0501674,-5.6911755
50.0501812,-5.6895661
50.0502915,-5.6870341
50.0510493,-5.6840515
50.0523031,-5.6810475
50.0557887,-5.666306
50.0563742,-5.6642568
50.0567392,-5.6622076
50.057497,-5.6578302
50.0580344,-5.654762
50.0600868,-5.6466293
50.0632826,-5.6387758
50.0643433,-5.634377
50.0691227,-5.609572
50.0716568,-5.6028342
50.0739705,-5.5978563
50.0766972,-5.5945086
50.0807318,-5.5865049
50.082095,-5.5827714
50.083348,-5.578866
50.0853444,-5.5723858
50.0872859,-5.564125
50.090108,-5.5559492
50.0925446,-5.5478168
50.0938249,-5.5450058
50.0971698,-5.5391049
50.1005008,-5.5335474
50.1030608,-5.5281829
50.1055794,-5.5218101
50.1166706,-5.4786158
50.1166706,-5.4786158
50.1171728,-5.4773712
50.1179021,-5.4766309
50.1189615,-5.4754508
50.1199865,-5.4736376
50.1216512,-5.4681659
50.122573,-5.4637241
50.1238524,-5.4561925
50.1243202,-5.4526949
50.1252969,-5.4488969
50.1267413,-5.4430604
50.1302216,-5.4305935
50.1318859,-5.4271603
50.1326287,-5.4251432
50.1344167,-5.4184914
50.1390517,-5.4093719
50.1429298,-5.395081
50.1440299,-5.3898668
50.1457076,-5.3845668
50.1475364,-5.3789234
50.1495576,-5.3749967
50.1519088,-5.3708339
50.1607486,-5.3557277
50.1619583,-5.3530884
50.1628836,-5.3514993
50.1633136,-5.3507262
50.1636199,-5.3499476
50.1652298,-5.3465009
50.1675527,-5.3385401
50.1694082,-5.333755
50.171566,-5.3277898
50.1754277,-5.3199792
50.177544,-5.315516
50.1786433,-5.311954
50.1809381,-5.3050661
50.1826556,-5.3009462
50.1847304,-5.2969551
50.1854723,-5.2923203
50.186544,-5.2878571
50.1880552,-5.2843165
50.1937977,-5.2704334
50.1969022,-5.2639532
50.19899,-5.2565289
50.2000614,-5.2492762
50.1998416,-5.2403927
50.2005009,-5.2350283
50.2015447,-5.2214241
50.2026435,-5.2145576
50.2032204,-5.2076483
50.2034126,-5.1937866
50.2058573,-5.1879072
50.2099772,-5.1832294
50.2151403,-5.1805687
50.2191221,-5.1803112
50.2213737,-5.1793242
50.2240645,-5.1757193
50.2263434,-5.1721144
50.2279907,-5.1667929
50.2297477,-5.1594973
50.2307635,-5.157094
50.2322459,-5.1550341
50.2334538,-5.1503992
50.2344695,-5.1441765
50.2348538,-5.1414299
50.2380105,-5.1283836
50.2402612,-5.1235771
50.24468,-5.1166677
50.2461072,-5.115037
50.2510194,-5.1131487
50.2545592,-5.1126337
50.2567542,-5.1112604
50.2594705,-5.1107883
50.2614184,-5.1086426
50.2642167,-5.1064968
50.2668503,-5.1061106
50.2699774,-5.106411
50.2727204,-5.1064968
50.2747226,-5.1039648
50.2760391,-5.1005745
50.2763957,-5.0975704
50.2768071,-5.0933862
50.2756003,-5.0864553
50.2739272,-5.0794601
50.2711021,-5.0722075
50.2694563,-5.0642681
50.2694563,-5.0642681
50.2687705,-5.062058
50.2682767,-5.0604272
50.267687,-5.0586677
50.2667817,-5.0563717
50.266041,-5.0548697
50.265122,-5.0534964
50.2643265,-5.0523591
50.2639973,-5.0505567
50.2637367,-5.0480676
50.2639424,-5.0466514
50.264203,-5.0440335
50.2643539,-5.0406003
50.2645185,-5.0374246
50.2652043,-5.0334549
50.2662194,-5.0299144
50.2676321,-5.0237131
50.2688802,-5.0193357
50.2697854,-5.0152802
50.2703203,-5.0122333
50.2709238,-5.0085855
50.2717192,-5.0068045
50.2722404,-5.0057316
50.2731592,-5.0045085
50.2744346,-5.0032854
50.2758883,-5.0014186
50.2771088,-4.9995518
50.2790011,-4.9964404
50.2805369,-4.9939942
50.2816202,-4.9924922
50.2830873,-4.9905181
50.2847738,-4.9881577
50.287036,-4.9848962
50.288832,-4.982214
50.2913408,-4.9785233
50.2928625,-4.9762917
50.2954122,-4.9713349
50.2974409,-4.9687386
50.2994558,-4.9668932
50.3051437,-4.963975
50.3087617,-4.9625158
50.3104884,-4.9617219
50.3129001,-4.9600697
50.3144896,-4.9589539
50.3161887,-4.9571943
50.3170245,-4.9557137
50.3176684,-4.9536753
50.3185864,-4.950521
50.3191208,-4.9479032
50.3196414,-4.9441481
50.3199565,-4.94138
50.3203127,-4.9361444
50.3207511,-4.9290633
50.3211896,-4.9230766
50.3213266,-4.9195361
50.321217,-4.9092579
50.3214088,-4.905417
50.3221212,-4.8987222
50.322587,-4.8968124
50.3230254,-4.8953533
50.3232857,-4.8947525
50.3236967,-4.8931646
50.3246008,-4.8898387
50.3257927,-4.8873281
50.3268064,-4.8861051
50.3282173,-4.884367
50.3300803,-4.8812556
50.3310117,-4.8799467
50.3320116,-4.8793888
50.3343401,-4.8781443
50.3366137,-4.8770285
50.3380517,-4.8760629
50.3401197,-4.8744106
50.3421465,-4.8719645
50.3436665,-4.8695827
50.3448853,-4.8662138
50.345926,-4.8625016
50.3463505,-4.8596478
50.3466106,-4.8544765
50.3468845,-4.8505068
50.346775,-4.8413658
50.3469118,-4.8325976
50.3467878,-4.8317916
50.3465268,-4.8311707
50.3455836,-4.8259377
50.3433379,-4.8154664
50.3426669,-4.8136425
50.3422697,-4.8099947
50.3416809,-4.7999525
50.3422218,-4.7977424
50.3441184,-4.796176
50.3453577,-4.7958434
50.3465765,-4.795618
50.3490206,-4.7950172
50.35384,-4.7921848
50.3587137,-4.7884512
50.3620265,-4.7857475
50.3675563,-4.7815205
50.3684597,-4.7800827
50.3692536,-4.7754478
50.3712381,-4.7725726
50.3725108,-4.7681522
50.3727572,-4.7661352
50.3732772,-4.7649765
50.3748783,-4.7640324
50.3757131,-4.7629166
50.3774784,-4.7606636
50.3786141,-4.7595263
50.3801194,-4.7584533
50.3827191,-4.7542048
50.3857293,-4.7472956
50.3876993,-4.7430038
50.3889581,-4.7380257
50.3896967,-4.7337771
50.3904082,-4.7174693
50.3902989,-4.7066975
50.3908459,-4.7024918
50.3923782,-4.6955399
50.3941291,-4.6873856
50.3961809,-4.682708
50.3986977,-4.6787167
50.4039224,-4.6715069
50.4068423,-4.6693397
50.4073825,-4.6691304
50.4073825,-4.6691304
50.4076697,-4.6685994
50.4076697,-4.6682668
50.4076799,-4.6674085
50.4075944,-4.6669471
50.407656,-4.6653378
50.4076833,-4.6645707
50.4074782,-4.6628863
50.4072697,-4.6596193
50.4074987,-4.6552527
50.4077654,-4.651798
50.4087227,-4.6462297
50.4105551,-4.6401787
50.4122917,-4.6376252
50.4130506,-4.637003
50.4134779,-4.6368313
50.4138916,-4.6368098
50.4144453,-4.636724
50.4149923,-4.6367347
50.4167937,-4.6367937
50.4185677,-4.637239
