id,name,lat,lon,strategy,source
node/262942557,St. Michael and All Angels,51.4675654,-3.5279558,A4,osm
node/299443678,St Michael,51.4367978,-3.4669312,A4,osm
node/315875697,St Michael The Archangel,53.3308181,-1.6566965,A4,osm
node/387530409,The Greek Orthodox Cathedral of the Holy Cross and St Michael,51.5739433,-0.201678,A4,osm
node/410268977,St. Michael's,51.956138,-3.7879068,A4,osm
node/440149684,English Orthodox Church of St Michael Chapel,51.2317195,-0.5821197,A4,osm
node/577449445,Saint Michael,51.7129002,-2.7772154,A4,osm
node/582437696,Saint Michael,51.9470569,-3.2901045,A4,osm
node/702420829,St George & St Michael Church,51.2439721,-0.9482296,A4,osm
node/720957043,St Michael's Church,51.0834944,-0.7481939,A4,osm
node/1040906535,Church of St. Michael,51.6497938,-5.021561,A4,osm
node/1271509803,St Michael and All Angels Church,53.3020564,-0.1588686,A4,osm
node/1303944058,St Michael's Church,53.0926397,-3.7993803,A4,osm
node/1407363462,"St Michael's Church, Penrhoslligwy",53.3482971,-4.2841742,A4,osm
node/1417494819,St Michael's Church,53.2483927,0.0794156,A4,osm
node/1604211995,St Michael & All Angels,51.7117873,-2.8479177,A4,osm
node/1711236143,St. Michael & All Angels,51.5555753,-3.3572881,A4,osm
node/5180539454,Saint Michael,52.6423083,1.2413987,A4,osm
node/5866292256,St Michael & All Angels,50.8694842,-0.9893492,A4,osm
node/7498934496,St Michael,51.2333835,-0.5582978,A4,osm
node/10611345171,"St Michael's Priory Church, Ewenny Priory",51.4888049,-3.5676039,A4,osm
node/12111171250,Saint Michael The Archangel,50.7401308,-3.3189999,A4,osm
node/13284840865,St Michael,51.5401367,-0.141503,A4,osm
way/4348220,St. Michael & All Angels Church,52.2099103,-1.0150294,A4,osm
way/22756406,"St Michael's, Two Mile Hill",51.4618957,-2.5211321,A4,osm
way/23349620,St. Michael's,52.1312286,-1.0556909,A4,osm
way/23597410,St Michael,52.0516219,-2.76924,A4,osm
way/25312607,Coventry Cathedral Church of St Michael,52.4086393,-1.5070982,A4,osm
way/27334243,St Michael's Church,50.8995838,-1.4051515,A4,osm
way/28145937,St Michael & All Angels,51.0827798,-1.8236489,A4,osm
way/30640492,St Michael and All Angels,51.5625182,-0.0665486,A4,osm
way/31437015,St Michael and All Angels,52.0369612,-2.4200872,A4,osm
way/34212613,St Michael and St George,51.5124651,-0.2306348,A4,osm
way/37096410,"St. Michael, Kirby-le-Soken",51.8527261,1.2214937,A4,osm
way/37854098,St Michael,52.3074174,-2.075721,A4,osm
way/37957792,St Michael The Archangel,53.3240978,-0.9470406,A4,osm
way/38769709,"Parish Church of St Michael, Wood Green",51.599466,-0.1116148,A4,osm
way/42194824,St. Michael's Parish Church,51.576096,-2.98532,A4,osm
way/43390897,St Michael and All Angels,51.8140852,-2.0854257,A4,osm
way/45775334,Saint Michael and All Angels Church,51.4960404,-0.2547354,A4,osm
way/46031574,Saint Michael's and All Angels,51.3808773,-2.3980582,A4,osm
way/49166045,St Michael and All Angels,53.337243,-2.7359496,A4,osm
way/49264083,Saint Michael's,51.509117,-0.7021122,A4,osm
