id,name,lat,lon,type,source
node/271308,Tumulus,50.9279169,-1.7077055,tumulus,osm
node/4118137,Bedford Castle,52.1354363,-0.4633704,fortification,osm
node/28932430,Park Hill,51.1112289,-2.3392111,fortification,osm
node/30000437,node/30000437,53.4186225,-2.0167551,tumulus,osm
node/30000438,node/30000438,53.4142841,-2.0193363,tumulus,osm
node/101397008,Dolmen / Cromlech,51.998967,-4.7700299,megalith,osm
node/112311575,Robin Hood's Tump,53.1349949,-2.6372061,tumulus,osm
node/193715284,Abinger Motte,51.2021604,-0.406891,fortification,osm
node/255116831,Kit's Coty House,51.3198925,0.5030031,megalith,osm
node/255173948,Carl Wark,53.3291918,-1.6118875,fortification,osm
node/255174021,Navio Roman Fort,53.3410496,-1.7292351,fortification,osm
node/257598905,Ivinghoe Beacon,51.8419,-0.6076,fortification,osm
node/265758477,Castle Hill,50.8340445,-1.7199091,fortification,osm
node/269467660,Bastion 1 Hilsea Lines,50.8352113,-1.0748613,fortification,osm
node/272788046,node/272788046,51.7293624,-3.7765236,cairn,osm
node/272788047,node/272788047,51.7283691,-3.7790345,cairn,osm
node/272788049,node/272788049,51.7246166,-3.7805796,cairn,osm
node/273466332,Stone Circle,51.3143821,-1.1560708,megalith,osm
node/290006490,node/290006490,51.2498545,-0.0695006,tumulus,osm
node/293683834,Wet Withens,53.3074405,-1.6631184,megalith,osm
node/298136503,Tumulus,51.2026085,-0.4017668,tumulus,osm
node/301461840,node/301461840,51.159294,-0.7861887,tumulus,osm
node/301594567,Tumulus,51.1604798,-0.6991068,tumulus,osm
node/301598165,Tumulus,51.1970648,-0.7221122,tumulus,osm
node/301600187,Tumulus,51.2208545,-0.6568429,tumulus,osm
node/302325186,node/302325186,51.3715034,-0.5805498,tumulus,osm
node/303570735,Hob Hurst's House,53.2194314,-1.5709982,tumulus,osm
node/303571498,Doll Tor Stone Circle,53.1624837,-1.6449916,megalith,osm
node/303571761,Arbor Low,53.16893,-1.7615222,megalith,osm
node/308966213,node/308966213,51.1292898,-1.6861365,tumulus,osm
node/308966301,node/308966301,51.1237412,-1.7034582,tumulus,osm
node/308966302,node/308966302,51.1225973,-1.6996023,tumulus,osm
node/308966332,node/308966332,51.1155682,-1.6884779,tumulus,osm
node/308966333,node/308966333,51.116624,-1.6878973,tumulus,osm
node/308966334,node/308966334,51.1142858,-1.685402,tumulus,osm
node/308966335,node/308966335,51.1161585,-1.6903459,tumulus,osm
node/308966336,node/308966336,51.113534,-1.674608,tumulus,osm
node/311290122,Ballybrack Dolmen,53.2451122,-6.1223247,megalith,osm
node/313720541,node/313720541,51.2117793,-1.5263561,tumulus,osm
node/313720684,node/313720684,51.238777,-1.4393179,tumulus,osm
node/313720722,node/313720722,51.2392069,-1.4380304,tumulus,osm
node/316138753,node/316138753,51.2276767,-0.3501273,tumulus,osm
node/316422583,Aideen's Dolmen,53.3795544,-6.0822313,megalith,osm
node/316530856,node/316530856,50.5310396,-3.9512886,tumulus,osm
node/318364784,Killakee Wedge Tomb,53.2473832,-6.3169898,megalith,osm
node/324302302,node/324302302,53.0295806,-2.8145779,tumulus,osm
node/324378023,Dane's Camp,51.7107392,-0.7749567,fortification,osm
node/326239457,Hoar Stone,51.7588743,-2.0506431,standing_stone,osm
node/330256623,Yellow Mead Stone Circle,50.492864,-4.0105187,megalith,osm
node/330279711,Stone Circle,50.6801861,-3.9129366,megalith,osm
node/330314786,node/330314786,50.5425034,-3.9213536,megalith,osm
node/330373140,Uley Long Barrow,51.698652,-2.3059025,tumulus,osm
node/332057428,node/332057428,51.1591579,-1.1368242,tumulus,osm
node/332057429,node/332057429,51.1558203,-1.1257521,tumulus,osm
node/332792502,Five Wells,53.2362851,-1.8158866,megalith,osm
node/344923511,node/344923511,52.7596435,-4.0379154,cairn,osm
node/355973202,node/355973202,51.8121573,-2.1268786,tumulus,osm
node/361130854,Hordron Edge Stone Circle,53.3781117,-1.6779289,megalith,osm
node/368666689,Tumulus,50.843254,-0.0243663,tumulus,osm
node/369304127,node/369304127,50.8755192,-0.0139882,tumulus,osm
node/369304154,node/369304154,50.8766626,-0.0142125,tumulus,osm
node/369306811,node/369306811,50.8812768,-0.0083251,tumulus,osm
node/370206805,West Kennet Long Barrow,51.4086455,-1.8504375,megalith,osm
node/381103202,Bluestone Pillar,51.9405985,-4.7142093,standing_stone,osm
node/382917761,Tumulus,51.4078554,-0.7528605,tumulus,osm
node/386055629,node/386055629,50.7736887,0.1827455,tumulus,osm
node/410615488,The Coffin Stone,53.132483,-6.2498197,megalith,osm
node/411708122,node/411708122,51.7699163,-2.2862724,tumulus,osm
node/411708123,node/411708123,51.7713238,-2.2889761,tumulus,osm
node/411716577,node/411716577,51.7715554,-2.460855,tumulus,osm
node/411934242,The Camp Long Barrow,51.7799607,-2.1263887,megalith,osm
node/415265540,Castle Grove Camp,51.5243889,-1.0167586,fortification,osm
node/416391268,Coberley Long Barrow,51.839317,-2.0660954,megalith,osm
node/416391281,node/416391281,51.8207325,-2.0813668,tumulus,osm
node/416630956,Wellhill Copse Barrow,51.7336536,-2.0050623,tumulus,osm
node/416647626,node/416647626,51.6777205,-2.1027585,tumulus,osm
node/416647627,node/416647627,51.6651562,-2.1720281,tumulus,osm
node/416647628,node/416647628,51.7121942,-2.1598369,tumulus,osm
node/416661343,node/416661343,51.6749901,-2.0671216,tumulus,osm
node/416851416,node/416851416,51.6870144,-2.2026883,tumulus,osm
node/416851417,node/416851417,51.683689,-2.1929948,tumulus,osm
node/416851692,node/416851692,51.696322,-2.1698533,megalith,osm
node/420302707,node/420302707,51.7931493,-2.0970088,tumulus,osm
node/420302709,node/420302709,51.7921248,-2.1055232,tumulus,osm
node/420302710,node/420302710,51.7835848,-2.0858492,tumulus,osm
node/420302716,node/420302716,51.7579818,-2.0520507,megalith,osm
node/420302718,node/420302718,51.7559044,-2.1006309,megalith,osm
node/420302721,node/420302721,51.7655041,-2.1305435,megalith,osm
node/420302725,The Giants Stone,51.7541511,-2.1203719,standing_stone,osm
node/420302726,node/420302726,51.7670126,-2.0636379,tumulus,osm
node/420302727,Jack Barrow,51.7632815,-2.0629188,megalith,osm
node/428161418,Bakewell Castle,53.2157713,-1.6700907,fortification,osm
node/429199869,node/429199869,50.6112293,-4.5614039,tumulus,osm
node/429199871,node/429199871,50.6055855,-4.5801524,tumulus,osm
node/429199872,node/429199872,50.6319747,-4.576516,tumulus,osm
node/429199874,node/429199874,50.6252243,-4.5905001,tumulus,osm
node/429199877,node/429199877,50.6063773,-4.5811117,tumulus,osm
node/429199878,node/429199878,50.6111204,-4.5596014,tumulus,osm
node/429199880,node/429199880,50.6166748,-4.6492083,tumulus,osm
node/429199884,node/429199884,50.6400324,-4.6262057,tumulus,osm
node/429199885,node/429199885,50.6443324,-4.6286948,tumulus,osm
node/429199886,node/429199886,50.644278,-4.6297247,tumulus,osm
node/429199891,Standing Stone,50.5878593,-4.5258739,standing_stone,osm
node/429199893,node/429199893,50.5740152,-4.4821021,tumulus,osm
node/429218249,node/429218249,50.5603839,-4.4999475,tumulus,osm
node/429218315,node/429218315,50.6554072,-4.5842761,tumulus,osm
node/429218316,node/429218316,50.6617189,-4.5887393,tumulus,osm
node/429218318,node/429218318,50.6631063,-4.6254749,tumulus,osm
node/429218320,node/429218320,50.6663358,-4.623106,tumulus,osm
node/429218323,node/429218323,50.6681658,-4.6122569,tumulus,osm
node/429218326,node/429218326,50.6632732,-4.6444055,megalith,osm
node/429218332,node/429218332,50.6675121,-4.672346,tumulus,osm
node/429218334,node/429218334,50.6594337,-4.7615594,tumulus,osm
node/429218350,node/429218350,50.7104159,-4.5957345,tumulus,osm
node/429218354,node/429218354,50.6852444,-4.6094245,tumulus,osm
node/429236723,node/429236723,51.2572652,-1.9144414,tumulus,osm
node/429236724,node/429236724,51.2529175,-1.9127292,tumulus,osm
node/429236725,node/429236725,51.2648418,-1.9280071,tumulus,osm
node/429236727,node/429236727,51.2975874,-1.948602,tumulus,osm
node/429236729,node/429236729,51.2942062,-1.9114803,tumulus,osm
node/429236730,node/429236730,51.295226,-1.8920396,tumulus,osm
node/429236732,node/429236732,51.2937272,-1.8717426,tumulus,osm
node/429236733,node/429236733,51.2912273,-1.8664191,tumulus,osm
node/429236737,node/429236737,51.2737796,-1.7608903,tumulus,osm
node/429236738,node/429236738,51.2725983,-1.7526077,tumulus,osm
node/429236739,node/429236739,51.272115,-1.7500757,tumulus,osm
node/429236740,node/429236740,51.2722224,-1.7444967,tumulus,osm
node/429236741,node/429236741,51.2575606,-1.718447,tumulus,osm
node/429236743,node/429236743,51.2589572,-1.7181466,tumulus,osm
node/429236744,node/429236744,51.2605954,-1.7147992,tumulus,osm
node/429236746,node/429236746,51.2606089,-1.7086302,tumulus,osm
node/429236747,node/429236747,51.2602584,-1.7054168,tumulus,osm
node/429236748,node/429236748,51.262717,-1.7044352,tumulus,osm
node/429236749,node/429236749,51.2602194,-1.6953586,tumulus,osm
node/429236750,node/429236750,51.2570302,-1.7061759,tumulus,osm
node/429236751,node/429236751,51.2622545,-1.694585,tumulus,osm
node/429236752,node/429236752,51.2505503,-1.7416213,tumulus,osm
node/429236754,node/429236754,51.2529955,-1.7355662,tumulus,osm
node/429236756,node/429236756,51.2693226,-1.682999,tumulus,osm
node/429236757,node/429236757,51.26363,-1.6694377,tumulus,osm
node/429236758,node/429236758,51.2648643,-1.6950193,tumulus,osm
node/429236759,node/429236759,51.2683115,-1.6905593,tumulus,osm
node/429236769,node/429236769,51.2677547,-1.6892564,tumulus,osm
node/429236771,node/429236771,51.2682289,-1.6883538,tumulus,osm
node/429236773,node/429236773,51.2682342,-1.6872383,tumulus,osm
node/429236777,node/429236777,51.2677973,-1.6846325,tumulus,osm
node/429236780,node/429236780,51.2662202,-1.687102,tumulus,osm
node/429236783,node/429236783,51.2663614,-1.6850668,tumulus,osm
node/429236785,node/429236785,51.2690273,-1.699736,tumulus,osm
node/429236788,node/429236788,51.271927,-1.6792653,tumulus,osm
node/429237001,Slay Barrow,51.2595222,-1.8761663,megalith,osm
node/429237003,node/429237003,51.2462254,-1.8725131,tumulus,osm
node/429237840,node/429237840,51.2641369,-1.8157115,tumulus,osm
node/429261798,node/429261798,51.1922043,-1.8078742,tumulus,osm
node/429261801,node/429261801,51.1922739,-1.8064237,tumulus,osm
