id,name,lat,lon,type,source
node/101397008,Dolmen / Cromlech,51.998967,-4.7700299,megalith,osm
node/255116831,Kit's Coty House,51.3198925,0.5030031,megalith,osm
node/273466332,Stone Circle,51.3143821,-1.1560708,megalith,osm
node/293683834,Wet Withens,53.3074405,-1.6631184,megalith,osm
node/303571498,Doll Tor Stone Circle,53.1624837,-1.6449916,megalith,osm
node/303571761,Arbor Low,53.16893,-1.7615222,megalith,osm
node/311290122,Ballybrack Dolmen,53.2451122,-6.1223247,megalith,osm
node/316422583,Aideen's Dolmen,53.3795544,-6.0822313,megalith,osm
node/318364784,Killakee Wedge Tomb,53.2473832,-6.3169898,megalith,osm
node/326239457,Hoar Stone,51.7588743,-2.0506431,standing_stone,osm
node/330256623,Yellow Mead Stone Circle,50.492864,-4.0105187,megalith,osm
node/330279711,Stone Circle,50.6801861,-3.9129366,megalith,osm
node/330314786,node/330314786,50.5425034,-3.9213536,megalith,osm
node/332792502,Five Wells,53.2362851,-1.8158866,megalith,osm
node/361130854,Hordron Edge Stone Circle,53.3781117,-1.6779289,megalith,osm
node/370206805,West Kennet Long Barrow,51.4086455,-1.8504375,megalith,osm
node/381103202,Bluestone Pillar,51.9405985,-4.7142093,standing_stone,osm
node/410615488,The Coffin Stone,53.132483,-6.2498197,megalith,osm
node/411934242,The Camp Long Barrow,51.7799607,-2.1263887,megalith,osm
node/416391268,Coberley Long Barrow,51.839317,-2.0660954,megalith,osm
node/416851692,node/416851692,51.696322,-2.1698533,megalith,osm
node/420302716,node/420302716,51.7579818,-2.0520507,megalith,osm
node/420302718,node/420302718,51.7559044,-2.1006309,megalith,osm
node/420302721,node/420302721,51.7655041,-2.1305435,megalith,osm
node/420302725,The Giants Stone,51.7541511,-2.1203719,standing_stone,osm
node/420302727,Jack Barrow,51.7632815,-2.0629188,megalith,osm
node/429199891,Standing Stone,50.5878593,-4.5258739,standing_stone,osm
node/429218326,node/429218326,50.6632732,-4.6444055,megalith,osm
node/429237001,Slay Barrow,51.2595222,-1.8761663,megalith,osm
node/429890631,node/429890631,51.2190737,-1.8378224,megalith,osm
node/429897673,node/429897673,51.2071181,-1.8184178,megalith,osm
node/429898154,node/429898154,51.2127834,-1.7297187,megalith,osm
node/430039104,Notgrove Long Barrow,51.8893324,-1.8621354,megalith,osm
node/431877870,node/431877870,50.4711898,-3.8378748,standing_stone,osm
node/442351424,node/442351424,51.7738933,-1.9029294,megalith,osm
node/444767686,Hangman's Barrow,50.1840336,-5.2608155,megalith,osm
node/445091081,node/445091081,51.2226746,-2.1821429,megalith,osm
node/445098750,node/445098750,51.2706145,-2.0889096,megalith,osm
node/445098755,node/445098755,51.220027,-2.0844419,megalith,osm
node/445098758,node/445098758,51.1969185,-2.109101,megalith,osm
node/445363162,node/445363162,51.1697841,-1.8524754,megalith,osm
node/445416451,node/445416451,51.1886067,-1.7866988,megalith,osm
node/445416452,node/445416452,51.1864189,-1.7671866,megalith,osm
node/447584459,Neale's Barrow,51.0586669,-1.8831807,megalith,osm
node/447584460,Lyons Borrow,51.0624137,-1.9062227,megalith,osm
node/466485123,node/466485123,51.6790827,-2.2029769,megalith,osm
node/479591220,node/479591220,51.9574144,-1.807199,megalith,osm
node/481194732,node/481194732,51.7476891,-2.0939447,megalith,osm
node/485354347,Westwood Long Barrow,51.7461184,-2.0937861,megalith,osm
node/486819820,node/486819820,51.8376005,-1.8217507,megalith,osm
node/486819821,Burn Ground,51.842771,-1.8501607,megalith,osm
node/486819822,node/486819822,51.8414453,-1.8770686,megalith,osm
node/495560714,Whispering Knights,51.9752632,-1.5655811,megalith,osm
node/503697602,Porth Hellick Down Burial Chamber,49.9186812,-6.280577,megalith,osm
node/524633920,Long Barrow,51.3894765,-1.7759409,megalith,osm
node/524635641,East Kennett Long Barrow,51.4006157,-1.8342199,megalith,osm
node/540354546,Druids' Circle,53.2963874,-2.2112836,megalith,osm
node/558421702,node/558421702,50.4339171,-3.8967114,standing_stone,osm
node/558421721,node/558421721,50.4372719,-3.8985261,standing_stone,osm
node/558421778,node/558421778,50.4390787,-3.8994659,standing_stone,osm
node/560123612,Standing Stone,50.485219,-3.9929703,megalith,osm
node/564975034,Allée couverte de Bretteville,49.6469611,-1.5100449,megalith,osm
node/568478319,Three Boys,50.6536374,-3.8969785,megalith,osm
node/568478338,Grey Wethers,50.6319583,-3.9262008,megalith,osm
node/568478366,Cosdon Hill Multiple Stone Rows,50.708073,-3.922664,megalith,osm
node/571597955,Cairn circle,50.7108882,-3.9718473,megalith,osm
node/571598054,Merrivale Standing Stone,50.5531397,-4.0432097,megalith,osm
node/571622983,Harold's Stones,51.742772,-2.7265844,megalith,osm
node/571719632,Buttington Stone,51.6346396,-2.6549617,standing_stone,osm
node/600199459,Bow Henge,50.7995153,-3.8353901,henge,osm
node/600206371,Lanyon Quoit,50.147356,-5.5990624,megalith,osm
