id,name,lat,lon,type,source
node/271308,Tumulus,50.9279169,-1.7077055,tumulus,osm
node/30000437,node/30000437,53.4186225,-2.0167551,tumulus,osm
node/30000438,node/30000438,53.4142841,-2.0193363,tumulus,osm
node/112311575,Robin Hood's Tump,53.1349949,-2.6372061,tumulus,osm
node/272788046,node/272788046,51.7293624,-3.7765236,cairn,osm
node/272788047,node/272788047,51.7283691,-3.7790345,cairn,osm
node/272788049,node/272788049,51.7246166,-3.7805796,cairn,osm
node/290006490,node/290006490,51.2498545,-0.0695006,tumulus,osm
node/298136503,Tumulus,51.2026085,-0.4017668,tumulus,osm
node/301461840,node/301461840,51.159294,-0.7861887,tumulus,osm
node/301594567,Tumulus,51.1604798,-0.6991068,tumulus,osm
node/301598165,Tumulus,51.1970648,-0.7221122,tumulus,osm
node/301600187,Tumulus,51.2208545,-0.6568429,tumulus,osm
node/302325186,node/302325186,51.3715034,-0.5805498,tumulus,osm
node/303570735,Hob Hurst's House,53.2194314,-1.5709982,tumulus,osm
node/308966213,node/308966213,51.1292898,-1.6861365,tumulus,osm
node/308966301,node/308966301,51.1237412,-1.7034582,tumulus,osm
node/308966302,node/308966302,51.1225973,-1.6996023,tumulus,osm
node/308966332,node/308966332,51.1155682,-1.6884779,tumulus,osm
node/308966333,node/308966333,51.116624,-1.6878973,tumulus,osm
node/308966334,node/308966334,51.1142858,-1.685402,tumulus,osm
node/308966335,node/308966335,51.1161585,-1.6903459,tumulus,osm
node/308966336,node/308966336,51.113534,-1.674608,tumulus,osm
node/313720541,node/313720541,51.2117793,-1.5263561,tumulus,osm
node/313720684,node/313720684,51.238777,-1.4393179,tumulus,osm
node/313720722,node/313720722,51.2392069,-1.4380304,tumulus,osm
node/316138753,node/316138753,51.2276767,-0.3501273,tumulus,osm
node/316530856,node/316530856,50.5310396,-3.9512886,tumulus,osm
node/324302302,node/324302302,53.0295806,-2.8145779,tumulus,osm
node/330373140,Uley Long Barrow,51.698652,-2.3059025,tumulus,osm
node/332057428,node/332057428,51.1591579,-1.1368242,tumulus,osm
node/332057429,node/332057429,51.1558203,-1.1257521,tumulus,osm
node/344923511,node/344923511,52.7596435,-4.0379154,cairn,osm
node/355973202,node/355973202,51.8121573,-2.1268786,tumulus,osm
node/368666689,Tumulus,50.843254,-0.0243663,tumulus,osm
node/369304127,node/369304127,50.8755192,-0.0139882,tumulus,osm
node/369304154,node/369304154,50.8766626,-0.0142125,tumulus,osm
node/369306811,node/369306811,50.8812768,-0.0083251,tumulus,osm
node/382917761,Tumulus,51.4078554,-0.7528605,tumulus,osm
node/386055629,node/386055629,50.7736887,0.1827455,tumulus,osm
node/411708122,node/411708122,51.7699163,-2.2862724,tumulus,osm
node/411708123,node/411708123,51.7713238,-2.2889761,tumulus,osm
node/411716577,node/411716577,51.7715554,-2.460855,tumulus,osm
node/416391281,node/416391281,51.8207325,-2.0813668,tumulus,osm
node/416630956,Wellhill Copse Barrow,51.7336536,-2.0050623,tumulus,osm
node/416647626,node/416647626,51.6777205,-2.1027585,tumulus,osm
node/416647627,node/416647627,51.6651562,-2.1720281,tumulus,osm
node/416647628,node/416647628,51.7121942,-2.1598369,tumulus,osm
node/416661343,node/416661343,51.6749901,-2.0671216,tumulus,osm
node/416851416,node/416851416,51.6870144,-2.2026883,tumulus,osm
node/416851417,node/416851417,51.683689,-2.1929948,tumulus,osm
node/420302707,node/420302707,51.7931493,-2.0970088,tumulus,osm
node/420302709,node/420302709,51.7921248,-2.1055232,tumulus,osm
node/420302710,node/420302710,51.7835848,-2.0858492,tumulus,osm
node/420302726,node/420302726,51.7670126,-2.0636379,tumulus,osm
node/429199869,node/429199869,50.6112293,-4.5614039,tumulus,osm
node/429199871,node/429199871,50.6055855,-4.5801524,tumulus,osm
node/429199872,node/429199872,50.6319747,-4.576516,tumulus,osm
node/429199874,node/429199874,50.6252243,-4.5905001,tumulus,osm
node/429199877,node/429199877,50.6063773,-4.5811117,tumulus,osm
node/429199878,node/429199878,50.6111204,-4.5596014,tumulus,osm
node/429199880,node/429199880,50.6166748,-4.6492083,tumulus,osm
node/429199884,node/429199884,50.6400324,-4.6262057,tumulus,osm
node/429199885,node/429199885,50.6443324,-4.6286948,tumulus,osm
node/429199886,node/429199886,50.644278,-4.6297247,tumulus,osm
node/429199893,node/429199893,50.5740152,-4.4821021,tumulus,osm
node/429218249,node/429218249,50.5603839,-4.4999475,tumulus,osm
node/429218315,node/429218315,50.6554072,-4.5842761,tumulus,osm
node/429218316,node/429218316,50.6617189,-4.5887393,tumulus,osm
node/429218318,node/429218318,50.6631063,-4.6254749,tumulus,osm
node/429218320,node/429218320,50.6663358,-4.623106,tumulus,osm
node/429218323,node/429218323,50.6681658,-4.6122569,tumulus,osm
node/429218332,node/429218332,50.6675121,-4.672346,tumulus,osm
node/429218334,node/429218334,50.6594337,-4.7615594,tumulus,osm
node/429218350,node/429218350,50.7104159,-4.5957345,tumulus,osm
node/429218354,node/429218354,50.6852444,-4.6094245,tumulus,osm
node/429236723,node/429236723,51.2572652,-1.9144414,tumulus,osm
node/429236724,node/429236724,51.2529175,-1.9127292,tumulus,osm
node/429236725,node/429236725,51.2648418,-1.9280071,tumulus,osm
node/429236727,node/429236727,51.2975874,-1.948602,tumulus,osm
node/429236729,node/429236729,51.2942062,-1.9114803,tumulus,osm
node/429236730,node/429236730,51.295226,-1.8920396,tumulus,osm
node/429236732,node/429236732,51.2937272,-1.8717426,tumulus,osm
node/429236733,node/429236733,51.2912273,-1.8664191,tumulus,osm
node/429236737,node/429236737,51.2737796,-1.7608903,tumulus,osm
node/429236738,node/429236738,51.2725983,-1.7526077,tumulus,osm
node/429236739,node/429236739,51.272115,-1.7500757,tumulus,osm
node/429236740,node/429236740,51.2722224,-1.7444967,tumulus,osm
node/429236741,node/429236741,51.2575606,-1.718447,tumulus,osm
node/429236743,node/429236743,51.2589572,-1.7181466,tumulus,osm
node/429236744,node/429236744,51.2605954,-1.7147992,tumulus,osm
node/429236746,node/429236746,51.2606089,-1.7086302,tumulus,osm
node/429236747,node/429236747,51.2602584,-1.7054168,tumulus,osm
node/429236748,node/429236748,51.262717,-1.7044352,tumulus,osm
node/429236749,node/429236749,51.2602194,-1.6953586,tumulus,osm
node/429236750,node/429236750,51.2570302,-1.7061759,tumulus,osm
node/429236751,node/429236751,51.2622545,-1.694585,tumulus,osm
node/429236752,node/429236752,51.2505503,-1.7416213,tumulus,osm
node/429236754,node/429236754,51.2529955,-1.7355662,tumulus,osm
node/429236756,node/429236756,51.2693226,-1.682999,tumulus,osm
node/429236757,node/429236757,51.26363,-1.6694377,tumulus,osm
node/429236758,node/429236758,51.2648643,-1.6950193,tumulus,osm
node/429236759,node/429236759,51.2683115,-1.6905593,tumulus,osm
node/429236769,node/429236769,51.2677547,-1.6892564,tumulus,osm
node/429236771,node/429236771,51.2682289,-1.6883538,tumulus,osm
node/429236773,node/429236773,51.2682342,-1.6872383,tumulus,osm
node/429236777,node/429236777,51.2677973,-1.6846325,tumulus,osm
node/429236780,node/429236780,51.2662202,-1.687102,tumulus,osm
node/429236783,node/429236783,51.2663614,-1.6850668,tumulus,osm
node/429236785,node/429236785,51.2690273,-1.699736,tumulus,osm
node/429236788,node/429236788,51.271927,-1.6792653,tumulus,osm
node/429237003,node/429237003,51.2462254,-1.8725131,tumulus,osm
node/429237840,node/429237840,51.2641369,-1.8157115,tumulus,osm
node/429261798,node/429261798,51.1922043,-1.8078742,tumulus,osm
node/429261801,node/429261801,51.1922739,-1.8064237,tumulus,osm
node/429885909,node/429885909,51.1720908,-1.8154635,tumulus,osm
node/429887881,node/429887881,51.1531167,-1.8249325,tumulus,osm
node/429887884,node/429887884,51.1517085,-1.828909,tumulus,osm
node/429887886,node/429887886,51.1498601,-1.8569198,tumulus,osm
node/429887890,node/429887890,51.1869546,-1.8634575,tumulus,osm
node/429887895,node/429887895,51.1906261,-1.8726697,tumulus,osm
node/429890627,node/429890627,51.2212509,-1.8747296,tumulus,osm
node/429890633,node/429890633,51.2177297,-1.8371358,tumulus,osm
node/429897670,node/429897670,51.2166276,-1.8216863,tumulus,osm
node/429897671,node/429897671,51.2151962,-1.8166223,tumulus,osm
node/429897674,node/429897674,51.2169233,-1.7834916,tumulus,osm
node/429897675,node/429897675,51.2220824,-1.7360177,tumulus,osm
node/429897676,node/429897676,51.221266,-1.7323526,tumulus,osm
node/429897678,node/429897678,51.2210616,-1.7294931,tumulus,osm
node/429897680,node/429897680,51.2209015,-1.7278733,tumulus,osm
node/429897682,node/429897682,51.2198844,-1.7261886,tumulus,osm
node/429897683,node/429897683,51.2193097,-1.7252018,tumulus,osm
node/429897684,node/429897684,51.2193779,-1.7235289,tumulus,osm
node/429897685,node/429897685,51.2176891,-1.7265411,tumulus,osm
node/429897686,node/429897686,51.2182506,-1.722584,tumulus,osm
node/429897688,node/429897688,51.2165168,-1.7217713,tumulus,osm
node/429897689,node/429897689,51.2184203,-1.7199555,tumulus,osm
node/429897690,node/429897690,51.2259007,-1.72753,tumulus,osm
node/429897693,node/429897693,51.2289375,-1.7217364,tumulus,osm
node/429897694,node/429897694,51.2302275,-1.7159536,tumulus,osm
node/429897696,node/429897696,51.2278063,-1.7116888,tumulus,osm
node/429897698,node/429897698,51.2374289,-1.7042699,tumulus,osm
node/429897700,node/429897700,51.2429368,-1.7037549,tumulus,osm
node/429897701,node/429897701,51.2466441,-1.6902366,tumulus,osm
node/429898151,node/429898151,51.2451397,-1.7089047,tumulus,osm
node/429898152,node/429898152,51.2233206,-1.6912344,tumulus,osm
node/429898153,node/429898153,51.2233894,-1.6925433,tumulus,osm
node/429898155,node/429898155,51.203185,-1.7360701,tumulus,osm
node/430039105,node/430039105,51.8862846,-1.8394439,tumulus,osm
node/431811214,node/431811214,51.1755876,-1.816009,tumulus,osm
node/434098759,node/434098759,51.7164113,-2.2750439,tumulus,osm
node/440973190,node/440973190,51.76501,0.7619057,tumulus,osm
node/441367001,node/441367001,51.396246,-2.2765719,tumulus,osm
node/442163083,node/442163083,51.7498198,0.782293,tumulus,osm
node/442174632,node/442174632,51.7284434,0.7216502,tumulus,osm
node/442176121,node/442176121,51.7348376,0.7089405,tumulus,osm
node/442177210,node/442177210,51.734997,0.7103996,tumulus,osm
node/442351423,Bansley Wold Tump,51.7608797,-1.8963204,tumulus,osm
node/442351425,node/442351425,51.7753272,-1.9019423,tumulus,osm
node/444686395,node/444686395,50.2514366,-4.7787277,tumulus,osm
node/444761641,node/444761641,50.265902,-5.1364867,tumulus,osm
node/444761643,node/444761643,50.2461465,-5.1002661,tumulus,osm
node/444761644,node/444761644,50.2472991,-5.1184622,tumulus,osm
node/444761645,node/444761645,50.2429903,-5.0924126,tumulus,osm
node/444767678,node/444767678,50.2107581,-5.2239911,tumulus,osm
node/444767682,node/444767682,50.2019687,-5.2339474,tumulus,osm
node/444767705,node/444767705,50.1250686,-5.6348154,tumulus,osm
node/444767712,node/444767712,50.123722,-5.6343083,tumulus,osm
node/444767716,node/444767716,50.1226997,-5.6343071,tumulus,osm
node/444767719,node/444767719,50.1254326,-5.6186406,tumulus,osm
node/445091023,node/445091023,51.2150675,-2.1811129,tumulus,osm
node/445091052,node/445091052,51.2094757,-2.1733882,tumulus,osm
node/445091070,node/445091070,51.2218145,-2.1810271,tumulus,osm
node/445091098,node/445091098,51.2241259,-2.1943309,tumulus,osm
node/445098700,node/445098700,51.2348754,-2.1404292,tumulus,osm
node/445098702,node/445098702,51.2301191,-2.140043,tumulus,osm
node/445098707,node/445098707,51.2380998,-2.1557929,tumulus,osm
node/445098710,node/445098710,51.243903,-2.158797,tumulus,osm
node/445098712,node/445098712,51.2458373,-2.1549775,tumulus,osm
node/445098715,node/445098715,51.2461865,-2.1538188,tumulus,osm
node/445098724,node/445098724,51.2492489,-2.1490981,tumulus,osm
node/445098726,node/445098726,51.2498936,-2.1503426,tumulus,osm
node/445098727,node/445098727,51.2512635,-2.1473386,tumulus,osm
node/445098729,node/445098729,51.2405985,-2.1214606,tumulus,osm
node/445098731,node/445098731,51.2354128,-2.1245934,tumulus,osm
node/445098732,node/445098732,51.2328332,-2.1021058,tumulus,osm
node/445098734,node/445098734,51.2305759,-2.0938661,tumulus,osm
node/445098735,node/445098735,51.2361114,-2.0916345,tumulus,osm
node/445098737,node/445098737,51.2351979,-2.0856692,tumulus,osm
node/445098740,node/445098740,51.2386371,-2.1100881,tumulus,osm
node/445098742,node/445098742,51.2483893,-2.1046378,tumulus,osm
node/445098744,node/445098744,51.2553999,-2.0911624,tumulus,osm
node/445098745,node/445098745,51.2595091,-2.0773866,tumulus,osm
node/445098747,node/445098747,51.2681023,-2.1077706,tumulus,osm
node/445098756,node/445098756,51.222137,-2.0739533,tumulus,osm
node/445098761,node/445098761,51.1915935,-2.1221043,tumulus,osm
node/445098763,node/445098763,51.1905983,-2.122276,tumulus,osm
node/445099634,node/445099634,51.1865906,-2.1169545,tumulus,osm
node/445099638,node/445099638,51.1887424,-2.1503426,tumulus,osm
node/445099639,node/445099639,51.1887693,-2.153218,tumulus,osm
node/445101431,node/445101431,51.2929502,-1.749426,tumulus,osm
node/445101439,node/445101439,51.2929234,-1.748439,tumulus,osm
node/445101456,node/445101456,51.2985051,-1.7697679,tumulus,osm
node/445104801,node/445104801,51.2932973,-1.698329,tumulus,osm
node/445104802,node/445104802,51.2956857,-1.6874285,tumulus,osm
node/445104804,node/445104804,51.2929484,-1.6966982,tumulus,osm
node/445104806,node/445104806,51.3202064,-1.7078562,tumulus,osm
node/445104808,node/445104808,51.3186239,-1.6999598,tumulus,osm
node/445104809,node/445104809,51.3195627,-1.7135639,tumulus,osm
node/445104810,node/445104810,51.3190262,-1.7148085,tumulus,osm
node/445107950,node/445107950,51.3124277,-1.7169542,tumulus,osm
node/445107954,node/445107954,51.3085379,-1.7341204,tumulus,osm
node/445107960,node/445107960,51.3083232,-1.7327042,tumulus,osm
node/445107964,node/445107964,51.3095037,-1.7331333,tumulus,osm
node/445107966,node/445107966,51.3158344,-1.7484541,tumulus,osm
node/445111000,node/445111000,51.2983959,-1.7560072,tumulus,osm
node/445344820,node/445344820,51.4333736,-1.8385399,tumulus,osm
node/445344829,node/445344829,51.4313402,-1.8360937,tumulus,osm
node/445344835,node/445344835,51.4319824,-1.8330467,tumulus,osm
node/445344840,node/445344840,51.4351929,-1.833433,tumulus,osm
node/445344842,node/445344842,51.4372384,-1.8422786,tumulus,osm
node/445357945,node/445357945,51.4376847,-1.8397778,tumulus,osm
node/445357947,node/445357947,51.4379255,-1.8383616,tumulus,osm
node/445357948,node/445357948,51.4378184,-1.8372887,tumulus,osm
node/445357949,node/445357949,51.4385675,-1.8246287,tumulus,osm
node/445358474,node/445358474,51.438193,-1.8199509,tumulus,osm
node/445358476,node/445358476,51.4405367,-1.8199731,tumulus,osm
node/445358480,node/445358480,51.442473,-1.8236846,tumulus,osm
node/445358484,node/445358484,51.4430348,-1.8225258,tumulus,osm
node/445361006,node/445361006,51.1849166,-1.8519746,tumulus,osm
node/445363158,node/445363158,51.177564,-1.8919035,tumulus,osm
node/445363478,node/445363478,51.2007024,-1.8774624,tumulus,osm
node/445416456,node/445416456,51.2221214,-1.7283653,tumulus,osm
node/445420934,node/445420934,51.2004472,-1.7189411,tumulus,osm
node/445420935,node/445420935,51.2009743,-1.7180399,tumulus,osm
node/445420936,node/445420936,51.2006516,-1.7214474,tumulus,osm
node/445420937,node/445420937,51.2003074,-1.7204775,tumulus,osm
node/445420938,node/445420938,51.2005093,-1.717013,tumulus,osm
node/445422423,node/445422423,51.1976774,-1.7163662,tumulus,osm
node/445452716,node/445452716,51.1844791,-1.7615653,tumulus,osm
node/447567044,node/447567044,51.1554005,-1.8319646,tumulus,osm
node/447574121,node/447574121,51.1804456,-1.7437657,tumulus,osm
node/447584457,node/447584457,51.0553197,-1.8800443,tumulus,osm
node/447584458,node/447584458,51.055023,-1.8784135,tumulus,osm
node/447584461,node/447584461,51.0628992,-1.9122737,tumulus,osm
node/447584463,node/447584463,51.0628182,-1.9106859,tumulus,osm
node/447584464,node/447584464,51.0650838,-1.9074243,tumulus,osm
node/447584465,node/447584465,51.0597435,-1.9388383,tumulus,osm
node/447584466,node/447584466,51.0467408,-1.939525,tumulus,osm
node/447584467,node/447584467,51.0460393,-1.9355768,tumulus,osm
node/447584468,node/447584468,51.0474693,-1.9179815,tumulus,osm
