id,name,lat,lon,type,source
node/4118137,Bedford Castle,52.1354363,-0.4633704,fortification,osm
node/28932430,Park Hill,51.1112289,-2.3392111,fortification,osm
node/193715284,Abinger Motte,51.2021604,-0.406891,fortification,osm
node/255173948,Carl Wark,53.3291918,-1.6118875,fortification,osm
node/255174021,Navio Roman Fort,53.3410496,-1.7292351,fortification,osm
node/257598905,Ivinghoe Beacon,51.8419,-0.6076,fortification,osm
node/265758477,Castle Hill,50.8340445,-1.7199091,fortification,osm
node/269467660,Bastion 1 Hilsea Lines,50.8352113,-1.0748613,fortification,osm
node/324378023,Dane's Camp,51.7107392,-0.7749567,fortification,osm
node/415265540,Castle Grove Camp,51.5243889,-1.0167586,fortification,osm
node/428161418,Bakewell Castle,53.2157713,-1.6700907,fortification,osm
node/441705169,Dolbury Hillfort,50.7942984,-3.4582785,fortification,osm
node/443265229,node/443265229,53.2388263,-3.8831268,fortification,osm
node/568548196,Nattadon Hill fort,50.6648882,-3.8337755,fortification,osm
node/603320187,Llys Rhosyr,53.1616692,-4.3657561,fortification,osm
node/609723224,node/609723224,52.7581199,-1.5875489,fortification,osm
node/669244238,Bryn Amlwg Castle,52.4528697,-3.2267706,fortification,osm
node/843796817,Cockroad Wood Castle,51.0887558,-2.3630692,fortification,osm
node/875417704,Hen Castell,51.8423293,-3.14396,fortification,osm
node/1232813315,Woolbury Rings,51.1158714,-1.4570411,fortification,osm
node/1371091086,Croft Ambrey,52.2965516,-2.8161808,fortification,osm
node/1475445837,Burgh Castle Roman Site,52.5826152,1.6515652,fortification,osm
node/1583568220,Castle Naze,53.302911,-1.9213455,fortification,osm
node/1585680425,Bury Castle,50.4965543,-4.6305735,fortification,osm
node/1650541974,Annesley Castle,53.0619813,-1.2412158,fortification,osm
node/1716361748,Castell Cawr,53.2766042,-3.5977159,fortification,osm
node/1753100929,node/1753100929,52.6841415,-4.0507696,fortification,osm
node/1766427987,Ringarounds,50.2123283,-4.9320277,fortification,osm
node/1767513142,Sully Island,51.3956979,-3.1959776,fortification,osm
node/1767749620,Prideaux Castle,50.3689456,-4.7304618,fortification,osm
node/1893898289,Castell Cynfal,52.5945951,-4.0461617,fortification,osm
node/1928071669,node/1928071669,51.9555082,-0.3624204,fortification,osm
node/1976319790,node/1976319790,53.2473282,-6.3261712,fortification,osm
node/2095340484,Castle Cob,53.2557305,-2.7000458,fortification,osm
node/2152108187,node/2152108187,50.9219872,-1.3256592,fortification,osm
node/2232565090,node/2232565090,53.1969623,-0.215364,fortification,osm
node/2232575515,node/2232575515,53.1932048,-0.2010055,fortification,osm
node/2232576878,Halstead Hall,53.1802249,-0.2237391,fortification,osm
node/2232578512,Wood Hall,53.1906679,-0.1755881,fortification,osm
node/2232579868,White Hall (Martin Grange),53.1759744,-0.1637657,fortification,osm
