id,name,lat,lon,type,source
node/271308,Tumulus,50.9279169,-1.7077055,tumulus,osm
node/2433319,Headon Warren Barrow,50.6717429,-1.5592568,archaeological_site,osm
node/4118137,Bedford Castle,52.1354363,-0.4633704,fortification,osm
node/8608042,Danish Camp,52.1395831,-0.3751791,archaeological_site,osm
node/18377650,Wing Maze,52.6159249,-0.6788319,archaeological_site,osm
node/21042301,Roman Settlement,51.9897381,-0.1809379,archaeological_site,osm
node/24963101,Long Man of Wilmington,50.8096423,0.1879342,archaeological_site,osm
node/26530831,Wandlebury Ring (Iron Age Hill Fort),52.1587892,0.1816366,archaeological_site,osm
node/26976795,Car Dyke,52.2613954,0.1880402,archaeological_site,osm
node/27234553,The Longstone,50.6561979,-1.4253431,archaeological_site,osm
node/28932430,Park Hill,51.1112289,-2.3392111,fortification,osm
node/29269186,The Trundle,50.8924976,-0.753767,archaeological_site,osm
node/30000437,node/30000437,53.4186225,-2.0167551,tumulus,osm
node/30000438,node/30000438,53.4142841,-2.0193363,tumulus,osm
node/30783024,Knowlton Rings,50.8917632,-1.9675755,archaeological_site,osm
node/32342998,Bulbarrow Hill,50.8550745,-2.3425248,archaeological_site,osm
node/87356178,The Caburn,50.8616232,0.0509574,archaeological_site,osm
node/101397008,Dolmen / Cromlech,51.998967,-4.7700299,megalith,osm
node/112311575,Robin Hood's Tump,53.1349949,-2.6372061,tumulus,osm
node/130223836,Merton Priory Chapter House,51.4140926,-0.181685,archaeological_site,osm
node/193715284,Abinger Motte,51.2021604,-0.406891,fortification,osm
node/196118629,Pimple Hill,52.5081528,-1.7922637,archaeological_site,osm
node/255114776,Roman Villa (Site of),51.3454952,0.6246412,archaeological_site,osm
node/255116831,Kit's Coty House,51.3198925,0.5030031,megalith,osm
node/255122716,Boxley Abbey,51.3003157,0.5250573,archaeological_site,osm
node/255173948,Carl Wark,53.3291918,-1.6118875,fortification,osm
node/255174021,Navio Roman Fort,53.3410496,-1.7292351,fortification,osm
node/255405500,Stockbury Castle,51.3235857,0.6483777,archaeological_site,osm
node/255408386,Moat,51.3639134,0.6933441,archaeological_site,osm
node/255415862,Faversham Stone Chapel,51.3161505,0.8565505,archaeological_site,osm
node/255757352,Abbey,51.4413266,0.4695305,archaeological_site,osm
node/256490027,Lullingstone Roman Villa,51.3640151,0.1964219,roman_villa,osm
node/256771562,Southend Hill Hillfort,51.8402958,-0.6668488,archaeological_site,osm
node/256920748,Castle,51.304477,0.4195949,ruins,osm
node/257598905,Ivinghoe Beacon,51.8419,-0.6076,fortification,osm
node/257744817,node/257744817,51.7255496,-0.5583236,archaeological_site,osm
node/258316432,Roman Villa,51.7142806,-0.3410071,roman_villa,osm
node/265758477,Castle Hill,50.8340445,-1.7199091,fortification,osm
node/269467560,"Bastion 4, Hilsea Lines",50.8339604,-1.0617213,archaeological_site,osm
node/269467660,Bastion 1 Hilsea Lines,50.8352113,-1.0748613,fortification,osm
node/273185621,Roman Buildings,51.1175596,-0.5993966,archaeological_site,osm
node/273466332,Stone Circle,51.3143821,-1.1560708,megalith,osm
node/274396784,La Varde Passage Grave,49.5022505,-2.5363333,archaeological_site,osm
node/274572618,Fort Le Marchant,49.5088257,-2.5186425,archaeological_site,osm
node/274572622,node/274572622,49.5064849,-2.5180363,archaeological_site,osm
node/274573192,Tower 7,49.5022244,-2.5309165,archaeological_site,osm
node/276342726,Soldiers Ring,51.2082262,-0.7415514,archaeological_site,osm
node/280761623,node/280761623,51.7831615,-0.1656157,archaeological_site,osm
node/283588019,Swaynes Howes (burial chambers),51.5849732,-4.2804707,archaeological_site,osm
node/287376496,Dry Hill Fort,51.1566686,0.045215,archaeological_site,osm
node/288250604,Roman Villa,51.2720321,0.0130472,archaeological_site,osm
node/290005432,Roman Villa,51.2543485,-0.1065584,archaeological_site,osm
node/290006490,node/290006490,51.2498545,-0.0695006,tumulus,osm
node/292020319,Twmpath Motte and Bailey,51.532239,-3.2212896,archaeological_site,osm
node/292932102,Carreg Coetan,52.0186402,-4.8282519,archaeological_site,osm
node/293471103,Bursledon Windmill,50.8949062,-1.3149986,archaeological_site,osm
node/293683834,Wet Withens,53.3074405,-1.6631184,megalith,osm
node/296020075,Chronicle Hills,52.1071631,0.1194014,archaeological_site,osm
node/298136503,Tumulus,51.2026085,-0.4017668,tumulus,osm
node/298158408,Moat,51.1279587,-0.3478701,archaeological_site,osm
node/299825211,Moat,51.1201717,-0.4750909,archaeological_site,osm
node/299834686,Roman Temple,51.1936914,-0.4963953,archaeological_site,osm
node/301249997,Dunmowes Manor,52.1832578,0.2339404,archaeological_site,osm
node/301429557,The Moat,51.1118489,-0.6925277,settlement,osm
node/301461840,node/301461840,51.159294,-0.7861887,tumulus,osm
node/301594567,Tumulus,51.1604798,-0.6991068,tumulus,osm
node/301595998,Powerham Castle,51.2153243,-0.8521757,archaeological_site,osm
node/301595999,Roman Villa,51.2177558,-0.8628607,archaeological_site,osm
node/301596503,Barley Pound,51.2156148,-0.8632314,archaeological_site,osm
node/301598165,Tumulus,51.1970648,-0.7221122,tumulus,osm
node/301599834,Earthwork,51.2120826,-0.6924599,archaeological_site,osm
node/301600187,Tumulus,51.2208545,-0.6568429,tumulus,osm
node/301601097,Roman Villa,51.222815,-0.6310109,archaeological_site,osm
node/302017122,node/302017122,52.8661061,-1.2473732,archaeological_site,osm
node/302325186,node/302325186,51.3715034,-0.5805498,tumulus,osm
node/303570735,Hob Hurst's House,53.2194314,-1.5709982,tumulus,osm
node/303571498,Doll Tor Stone Circle,53.1624837,-1.6449916,megalith,osm
node/303571761,Arbor Low,53.16893,-1.7615222,megalith,osm
node/305580192,Caesar's Camp,51.3569041,0.0429538,archaeological_site,osm
node/307642900,Fitzharry's Castle Mound,51.6747407,-1.2827865,archaeological_site,osm
node/308966213,node/308966213,51.1292898,-1.6861365,tumulus,osm
node/308966301,node/308966301,51.1237412,-1.7034582,tumulus,osm
node/308966302,node/308966302,51.1225973,-1.6996023,tumulus,osm
node/308966332,node/308966332,51.1155682,-1.6884779,tumulus,osm
node/308966333,node/308966333,51.116624,-1.6878973,tumulus,osm
node/308966334,node/308966334,51.1142858,-1.685402,tumulus,osm
node/308966335,node/308966335,51.1161585,-1.6903459,tumulus,osm
node/308966336,node/308966336,51.113534,-1.674608,tumulus,osm
node/308966762,Long Barrow,51.1448124,-1.6432089,archaeological_site,osm
node/311290122,Ballybrack Dolmen,53.2451122,-6.1223247,megalith,osm
node/312222766,Bradley Hill Fort,53.2862433,-2.6928131,archaeological_site,osm
node/313720541,node/313720541,51.2117793,-1.5263561,tumulus,osm
node/313720636,Roman Building,51.2179763,-1.4299623,archaeological_site,osm
node/313720684,node/313720684,51.238777,-1.4393179,tumulus,osm
node/313720722,node/313720722,51.2392069,-1.4380304,tumulus,osm
node/313720912,Roman Building,51.1402802,-1.035227,archaeological_site,osm
node/314742302,Gallowsclough Cob,53.2373165,-2.6454302,archaeological_site,osm
node/316138753,node/316138753,51.2276767,-0.3501273,tumulus,osm
node/316422583,Aideen's Dolmen,53.3795544,-6.0822313,megalith,osm
node/316530856,node/316530856,50.5310396,-3.9512886,tumulus,osm
